date,ticker,signal,confidence,signal_source,sector,n_matches,raw_prob,mean_7d_return
2024-09-27,SPY,HOLD,0.63189,KNN,Index,51,0.705882,1.0729
2024-09-30,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.5386
2024-10-01,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.1813
2024-10-02,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.1851
2024-10-03,SPY,HOLD,0.508617,KNN,Index,51,0.45098,-0.3107
2024-10-04,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.3721
2024-10-07,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.3037
2024-10-08,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.2154
2024-10-09,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.027
2024-10-10,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.2528
2024-10-11,SPY,HOLD,0.489163,KNN,Index,51,0.411765,-0.5759
2024-10-14,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.1213
2024-10-15,SPY,HOLD,0.508617,KNN,Index,51,0.45098,-0.2985
2024-10-16,SPY,HOLD,0.508617,KNN,Index,51,0.45098,-0.4272
2024-10-17,SPY,HOLD,0.53773,KNN,Index,51,0.509804,-0.0563
2024-10-18,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.0367
2024-10-21,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.3782
2024-10-22,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.2757
2024-10-23,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.7987
2024-10-24,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.2939
2024-10-25,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.0851
2024-10-28,SPY,HOLD,0.508617,KNN,Index,51,0.45098,-0.1419
2024-10-29,SPY,HOLD,0.508617,KNN,Index,51,0.45098,-0.3098
2024-10-30,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.0756
2024-10-31,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.5271
2024-11-01,SPY,HOLD,0.610468,KNN,Index,50,0.66,0.6787
2024-11-04,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.7177
